Country,State,City,Year,Month,Loss
India,Maharashtra,Yavatmal,2020,January,3857
India,Maharashtra,Yavatmal,2020,February,3889
India,Maharashtra,Yavatmal,2020,March,2892
India,Maharashtra,Yavatmal,2020,April,560
India,Maharashtra,Yavatmal,2020,May,2981
India,Maharashtra,Yavatmal,2020,June,3147
India,Maharashtra,Yavatmal,2020,July,722
India,Maharashtra,Yavatmal,2020,August,2643
India,Maharashtra,Yavatmal,2020,September,816
India,Maharashtra,Yavatmal,2020,October,664
India,Maharashtra,Yavatmal,2020,November,2835
India,Maharashtra,Yavatmal,2020,December,2378
