Country,State,City,Year,Month,Loss
India,Maharashtra,Yavatmal,2022,January,663
India,Maharashtra,Yavatmal,2022,February,989
India,Maharashtra,Yavatmal,2022,March,4991
India,Maharashtra,Yavatmal,2022,April,555
India,Maharashtra,Yavatmal,2022,May,1681
India,Maharashtra,Yavatmal,2022,June,3867
India,Maharashtra,Yavatmal,2022,July,1945
India,Maharashtra,Yavatmal,2022,August,2924
India,Maharashtra,Yavatmal,2022,September,807
India,Maharashtra,Yavatmal,2022,October,3737
India,Maharashtra,Yavatmal,2022,November,1750
India,Maharashtra,Yavatmal,2022,December,3886
