Country,State,City,Year,Month,Loss
India,Maharashtra,Yavatmal,2021,January,3275
India,Maharashtra,Yavatmal,2021,February,1408
India,Maharashtra,Yavatmal,2021,March,758
India,Maharashtra,Yavatmal,2021,April,2044
India,Maharashtra,Yavatmal,2021,May,3347
India,Maharashtra,Yavatmal,2021,June,982
India,Maharashtra,Yavatmal,2021,July,1684
India,Maharashtra,Yavatmal,2021,August,4124
India,Maharashtra,Yavatmal,2021,September,4139
India,Maharashtra,Yavatmal,2021,October,3410
India,Maharashtra,Yavatmal,2021,November,4321
India,Maharashtra,Yavatmal,2021,December,4737
