Country,State,City,Year,Month,Loss
India,Maharashtra,Yavatmal,2023,January,1520
India,Maharashtra,Yavatmal,2023,February,2746
India,Maharashtra,Yavatmal,2023,March,4139
India,Maharashtra,Yavatmal,2023,April,3849
India,Maharashtra,Yavatmal,2023,May,1414
India,Maharashtra,Yavatmal,2023,June,3862
India,Maharashtra,Yavatmal,2023,July,2712
India,Maharashtra,Yavatmal,2023,August,1583
India,Maharashtra,Yavatmal,2023,September,3304
India,Maharashtra,Yavatmal,2023,October,1366
India,Maharashtra,Yavatmal,2023,November,1791
India,Maharashtra,Yavatmal,2023,December,3606
