Country,State,City,Year,Month,Loss
India,Maharashtra,Yavatmal,2025,January,2082
India,Maharashtra,Yavatmal,2025,February,2164
India,Maharashtra,Yavatmal,2025,March,1369
India,Maharashtra,Yavatmal,2025,April,1539
India,Maharashtra,Yavatmal,2025,May,873
India,Maharashtra,Yavatmal,2025,June,2600
India,Maharashtra,Yavatmal,2025,July,903
India,Maharashtra,Yavatmal,2025,August,3664
India,Maharashtra,Yavatmal,2025,September,3122
India,Maharashtra,Yavatmal,2025,October,1321
India,Maharashtra,Yavatmal,2025,November,1400
India,Maharashtra,Yavatmal,2025,December,4627
