Country,State,City,Year,Month,Loss
India,Maharashtra,Yavatmal,2019,January,1226
India,Maharashtra,Yavatmal,2019,February,922
India,Maharashtra,Yavatmal,2019,March,970
India,Maharashtra,Yavatmal,2019,April,504
India,Maharashtra,Yavatmal,2019,May,2458
India,Maharashtra,Yavatmal,2019,June,3681
India,Maharashtra,Yavatmal,2019,July,525
India,Maharashtra,Yavatmal,2019,August,840
India,Maharashtra,Yavatmal,2019,September,3514
India,Maharashtra,Yavatmal,2019,October,864
India,Maharashtra,Yavatmal,2019,November,2486
India,Maharashtra,Yavatmal,2019,December,4522
