Country,State,City,Year,Month,Loss
India,Maharashtra,Aurangabad,2024,January,3242
India,Maharashtra,Aurangabad,2024,February,4234
India,Maharashtra,Aurangabad,2024,March,1819
India,Maharashtra,Aurangabad,2024,April,4518
India,Maharashtra,Aurangabad,2024,May,2729
India,Maharashtra,Aurangabad,2024,June,3346
India,Maharashtra,Aurangabad,2024,July,2090
India,Maharashtra,Aurangabad,2024,August,3327
India,Maharashtra,Aurangabad,2024,September,1622
India,Maharashtra,Aurangabad,2024,October,2797
India,Maharashtra,Aurangabad,2024,November,3502
India,Maharashtra,Aurangabad,2024,December,3925
