Country,State,City,Year,Month,Loss
India,Maharashtra,Aurangabad,2019,January,1983
India,Maharashtra,Aurangabad,2019,February,1030
India,Maharashtra,Aurangabad,2019,March,4328
India,Maharashtra,Aurangabad,2019,April,782
India,Maharashtra,Aurangabad,2019,May,1930
India,Maharashtra,Aurangabad,2019,June,3242
India,Maharashtra,Aurangabad,2019,July,4994
India,Maharashtra,Aurangabad,2019,August,1540
India,Maharashtra,Aurangabad,2019,September,4763
India,Maharashtra,Aurangabad,2019,October,3427
India,Maharashtra,Aurangabad,2019,November,4251
India,Maharashtra,Aurangabad,2019,December,4507
