Country,State,City,Year,Month,Loss
India,Maharashtra,Aurangabad,2025,January,763
India,Maharashtra,Aurangabad,2025,February,2603
India,Maharashtra,Aurangabad,2025,March,3462
India,Maharashtra,Aurangabad,2025,April,2873
India,Maharashtra,Aurangabad,2025,May,642
India,Maharashtra,Aurangabad,2025,June,2458
India,Maharashtra,Aurangabad,2025,July,4586
India,Maharashtra,Aurangabad,2025,August,4829
India,Maharashtra,Aurangabad,2025,September,3003
India,Maharashtra,Aurangabad,2025,October,2767
India,Maharashtra,Aurangabad,2025,November,1788
India,Maharashtra,Aurangabad,2025,December,1615
