Country,State,City,Year,Month,Loss
India,Maharashtra,Aurangabad,2022,January,1337
India,Maharashtra,Aurangabad,2022,February,4169
India,Maharashtra,Aurangabad,2022,March,4877
India,Maharashtra,Aurangabad,2022,April,2587
India,Maharashtra,Aurangabad,2022,May,2436
India,Maharashtra,Aurangabad,2022,June,2670
India,Maharashtra,Aurangabad,2022,July,4401
India,Maharashtra,Aurangabad,2022,August,720
India,Maharashtra,Aurangabad,2022,September,2927
India,Maharashtra,Aurangabad,2022,October,3460
India,Maharashtra,Aurangabad,2022,November,3638
India,Maharashtra,Aurangabad,2022,December,3087
