Country,State,City,Year,Month,Loss
India,Maharashtra,Aurangabad,2023,January,2254
India,Maharashtra,Aurangabad,2023,February,3003
India,Maharashtra,Aurangabad,2023,March,2760
India,Maharashtra,Aurangabad,2023,April,1034
India,Maharashtra,Aurangabad,2023,May,1495
India,Maharashtra,Aurangabad,2023,June,2650
India,Maharashtra,Aurangabad,2023,July,2724
India,Maharashtra,Aurangabad,2023,August,4986
India,Maharashtra,Aurangabad,2023,September,4659
India,Maharashtra,Aurangabad,2023,October,4946
India,Maharashtra,Aurangabad,2023,November,4028
India,Maharashtra,Aurangabad,2023,December,4957
