Country,State,City,Year,Month,Loss
India,Maharashtra,Amravati,2020,January,2499
India,Maharashtra,Amravati,2020,February,2448
India,Maharashtra,Amravati,2020,March,2899
India,Maharashtra,Amravati,2020,April,3387
India,Maharashtra,Amravati,2020,May,571
India,Maharashtra,Amravati,2020,June,1436
India,Maharashtra,Amravati,2020,July,935
India,Maharashtra,Amravati,2020,August,3302
India,Maharashtra,Amravati,2020,September,1266
India,Maharashtra,Amravati,2020,October,4348
India,Maharashtra,Amravati,2020,November,4550
India,Maharashtra,Amravati,2020,December,3359
