Country,State,City,Year,Month,Loss
India,Maharashtra,Amravati,2025,January,1863
India,Maharashtra,Amravati,2025,February,1535
India,Maharashtra,Amravati,2025,March,1756
India,Maharashtra,Amravati,2025,April,886
India,Maharashtra,Amravati,2025,May,1619
India,Maharashtra,Amravati,2025,June,1259
India,Maharashtra,Amravati,2025,July,4050
India,Maharashtra,Amravati,2025,August,3445
India,Maharashtra,Amravati,2025,September,1189
India,Maharashtra,Amravati,2025,October,4246
India,Maharashtra,Amravati,2025,November,1775
India,Maharashtra,Amravati,2025,December,3498
