Country,State,City,Year,Month,Loss
India,Maharashtra,Amravati,2021,January,3399
India,Maharashtra,Amravati,2021,February,3563
India,Maharashtra,Amravati,2021,March,4936
India,Maharashtra,Amravati,2021,April,2655
India,Maharashtra,Amravati,2021,May,4454
India,Maharashtra,Amravati,2021,June,4229
India,Maharashtra,Amravati,2021,July,3306
India,Maharashtra,Amravati,2021,August,3447
India,Maharashtra,Amravati,2021,September,4162
India,Maharashtra,Amravati,2021,October,4325
India,Maharashtra,Amravati,2021,November,691
India,Maharashtra,Amravati,2021,December,2988
