Country,State,City,Year,Month,Loss
India,Maharashtra,Amravati,2022,January,4377
India,Maharashtra,Amravati,2022,February,1824
India,Maharashtra,Amravati,2022,March,1386
India,Maharashtra,Amravati,2022,April,3744
India,Maharashtra,Amravati,2022,May,4839
India,Maharashtra,Amravati,2022,June,1751
India,Maharashtra,Amravati,2022,July,944
India,Maharashtra,Amravati,2022,August,2506
India,Maharashtra,Amravati,2022,September,4673
India,Maharashtra,Amravati,2022,October,3220
India,Maharashtra,Amravati,2022,November,2758
India,Maharashtra,Amravati,2022,December,1651
