Country,State,City,Year,Month,Loss
India,Maharashtra,Amravati,2019,January,1301
India,Maharashtra,Amravati,2019,February,2244
India,Maharashtra,Amravati,2019,March,2863
India,Maharashtra,Amravati,2019,April,559
India,Maharashtra,Amravati,2019,May,1978
India,Maharashtra,Amravati,2019,June,840
India,Maharashtra,Amravati,2019,July,1965
India,Maharashtra,Amravati,2019,August,3086
India,Maharashtra,Amravati,2019,September,2431
India,Maharashtra,Amravati,2019,October,4749
India,Maharashtra,Amravati,2019,November,3269
India,Maharashtra,Amravati,2019,December,1725
