Country,State,City,Year,Month,Loss
India,Maharashtra,Amravati,2023,January,655
India,Maharashtra,Amravati,2023,February,1990
India,Maharashtra,Amravati,2023,March,3664
India,Maharashtra,Amravati,2023,April,1775
India,Maharashtra,Amravati,2023,May,1443
India,Maharashtra,Amravati,2023,June,1194
India,Maharashtra,Amravati,2023,July,2053
India,Maharashtra,Amravati,2023,August,3303
India,Maharashtra,Amravati,2023,September,2105
India,Maharashtra,Amravati,2023,October,2683
India,Maharashtra,Amravati,2023,November,3406
India,Maharashtra,Amravati,2023,December,4772
