Country,State,City,Year,Month,Loss
India,Maharashtra,Akola,2020,January,3038
India,Maharashtra,Akola,2020,February,3515
India,Maharashtra,Akola,2020,March,2552
India,Maharashtra,Akola,2020,April,2529
India,Maharashtra,Akola,2020,May,1407
India,Maharashtra,Akola,2020,June,4252
India,Maharashtra,Akola,2020,July,794
India,Maharashtra,Akola,2020,August,3706
India,Maharashtra,Akola,2020,September,3829
India,Maharashtra,Akola,2020,October,4873
India,Maharashtra,Akola,2020,November,869
India,Maharashtra,Akola,2020,December,1675
