Country,State,City,Year,Month,Loss
India,Maharashtra,Akola,2019,January,4232
India,Maharashtra,Akola,2019,February,4334
India,Maharashtra,Akola,2019,March,3067
India,Maharashtra,Akola,2019,April,4397
India,Maharashtra,Akola,2019,May,2917
India,Maharashtra,Akola,2019,June,2849
India,Maharashtra,Akola,2019,July,3268
India,Maharashtra,Akola,2019,August,618
India,Maharashtra,Akola,2019,September,1715
India,Maharashtra,Akola,2019,October,4909
India,Maharashtra,Akola,2019,November,2847
India,Maharashtra,Akola,2019,December,4557
