Country,State,City,Year,Month,Loss
India,Maharashtra,Akola,2022,January,3112
India,Maharashtra,Akola,2022,February,2659
India,Maharashtra,Akola,2022,March,2636
India,Maharashtra,Akola,2022,April,4237
India,Maharashtra,Akola,2022,May,3971
India,Maharashtra,Akola,2022,June,1111
India,Maharashtra,Akola,2022,July,1789
India,Maharashtra,Akola,2022,August,2905
India,Maharashtra,Akola,2022,September,1561
India,Maharashtra,Akola,2022,October,748
India,Maharashtra,Akola,2022,November,1349
India,Maharashtra,Akola,2022,December,789
