Country,State,City,Year,Month,Loss
India,Maharashtra,Akola,2023,January,3690
India,Maharashtra,Akola,2023,February,1895
India,Maharashtra,Akola,2023,March,4102
India,Maharashtra,Akola,2023,April,2991
India,Maharashtra,Akola,2023,May,3997
India,Maharashtra,Akola,2023,June,2755
India,Maharashtra,Akola,2023,July,1030
India,Maharashtra,Akola,2023,August,4365
India,Maharashtra,Akola,2023,September,2054
India,Maharashtra,Akola,2023,October,4357
India,Maharashtra,Akola,2023,November,1707
India,Maharashtra,Akola,2023,December,4306
