Country,State,City,Year,Month,Loss
India,Maharashtra,Akola,2021,January,2059
India,Maharashtra,Akola,2021,February,2325
India,Maharashtra,Akola,2021,March,4654
India,Maharashtra,Akola,2021,April,932
India,Maharashtra,Akola,2021,May,530
India,Maharashtra,Akola,2021,June,2017
India,Maharashtra,Akola,2021,July,897
India,Maharashtra,Akola,2021,August,931
India,Maharashtra,Akola,2021,September,785
India,Maharashtra,Akola,2021,October,2009
India,Maharashtra,Akola,2021,November,1289
India,Maharashtra,Akola,2021,December,2837
