Country,State,City,Year,Month,Loss
India,Maharashtra,Akola,2025,January,2691
India,Maharashtra,Akola,2025,February,2716
India,Maharashtra,Akola,2025,March,2440
India,Maharashtra,Akola,2025,April,1971
India,Maharashtra,Akola,2025,May,3707
India,Maharashtra,Akola,2025,June,3857
India,Maharashtra,Akola,2025,July,3113
India,Maharashtra,Akola,2025,August,3928
India,Maharashtra,Akola,2025,September,1498
India,Maharashtra,Akola,2025,October,1900
India,Maharashtra,Akola,2025,November,1283
India,Maharashtra,Akola,2025,December,763
