Country,State,City,Year,Month,Loss
India,Maharashtra,Nagpur,2024,January,3665
India,Maharashtra,Nagpur,2024,February,4920
India,Maharashtra,Nagpur,2024,March,1890
India,Maharashtra,Nagpur,2024,April,615
India,Maharashtra,Nagpur,2024,May,1253
India,Maharashtra,Nagpur,2024,June,3286
India,Maharashtra,Nagpur,2024,July,2319
India,Maharashtra,Nagpur,2024,August,4385
India,Maharashtra,Nagpur,2024,September,4835
India,Maharashtra,Nagpur,2024,October,1873
India,Maharashtra,Nagpur,2024,November,4354
India,Maharashtra,Nagpur,2024,December,926
