Country,State,City,Year,Month,Loss
India,Maharashtra,Nagpur,2019,January,2127
India,Maharashtra,Nagpur,2019,February,3069
India,Maharashtra,Nagpur,2019,March,2059
India,Maharashtra,Nagpur,2019,April,1910
India,Maharashtra,Nagpur,2019,May,2861
India,Maharashtra,Nagpur,2019,June,4037
India,Maharashtra,Nagpur,2019,July,2891
India,Maharashtra,Nagpur,2019,August,2082
India,Maharashtra,Nagpur,2019,September,2394
India,Maharashtra,Nagpur,2019,October,4036
India,Maharashtra,Nagpur,2019,November,716
India,Maharashtra,Nagpur,2019,December,2863
