Country,State,City,Year,Month,Loss
India,Maharashtra,Nagpur,2022,January,2936
India,Maharashtra,Nagpur,2022,February,3092
India,Maharashtra,Nagpur,2022,March,2851
India,Maharashtra,Nagpur,2022,April,3292
India,Maharashtra,Nagpur,2022,May,2254
India,Maharashtra,Nagpur,2022,June,1968
India,Maharashtra,Nagpur,2022,July,3912
India,Maharashtra,Nagpur,2022,August,4574
India,Maharashtra,Nagpur,2022,September,2352
India,Maharashtra,Nagpur,2022,October,3665
India,Maharashtra,Nagpur,2022,November,4267
India,Maharashtra,Nagpur,2022,December,3803
