Country,State,City,Year,Month,Loss
India,Maharashtra,Nagpur,2025,January,4019
India,Maharashtra,Nagpur,2025,February,3246
India,Maharashtra,Nagpur,2025,March,3538
India,Maharashtra,Nagpur,2025,April,926
India,Maharashtra,Nagpur,2025,May,1137
India,Maharashtra,Nagpur,2025,June,3517
India,Maharashtra,Nagpur,2025,July,4227
India,Maharashtra,Nagpur,2025,August,1486
India,Maharashtra,Nagpur,2025,September,3630
India,Maharashtra,Nagpur,2025,October,1006
India,Maharashtra,Nagpur,2025,November,1397
India,Maharashtra,Nagpur,2025,December,2891
