Country,State,City,Year,Month,Loss
India,Maharashtra,Nagpur,2021,January,4857
India,Maharashtra,Nagpur,2021,February,4480
India,Maharashtra,Nagpur,2021,March,3018
India,Maharashtra,Nagpur,2021,April,4414
India,Maharashtra,Nagpur,2021,May,4285
India,Maharashtra,Nagpur,2021,June,4233
India,Maharashtra,Nagpur,2021,July,3730
India,Maharashtra,Nagpur,2021,August,3039
India,Maharashtra,Nagpur,2021,September,3589
India,Maharashtra,Nagpur,2021,October,4675
India,Maharashtra,Nagpur,2021,November,2180
India,Maharashtra,Nagpur,2021,December,1629
