Country,State,City,Year,Month,Loss
India,Maharashtra,Nagpur,2020,January,3280
India,Maharashtra,Nagpur,2020,February,2398
India,Maharashtra,Nagpur,2020,March,4479
India,Maharashtra,Nagpur,2020,April,722
India,Maharashtra,Nagpur,2020,May,3102
India,Maharashtra,Nagpur,2020,June,4920
India,Maharashtra,Nagpur,2020,July,1001
India,Maharashtra,Nagpur,2020,August,4864
India,Maharashtra,Nagpur,2020,September,2134
India,Maharashtra,Nagpur,2020,October,2051
India,Maharashtra,Nagpur,2020,November,831
India,Maharashtra,Nagpur,2020,December,4611
