Country,State,City,Year,Month,Loss
India,Maharashtra,Maharashtra,2021,January,4431
India,Maharashtra,Maharashtra,2021,February,2367
India,Maharashtra,Maharashtra,2021,March,2265
India,Maharashtra,Maharashtra,2021,April,3288
India,Maharashtra,Maharashtra,2021,May,4083
India,Maharashtra,Maharashtra,2021,June,1744
India,Maharashtra,Maharashtra,2021,July,2914
India,Maharashtra,Maharashtra,2021,August,1780
India,Maharashtra,Maharashtra,2021,September,2755
India,Maharashtra,Maharashtra,2021,October,509
India,Maharashtra,Maharashtra,2021,November,3421
India,Maharashtra,Maharashtra,2021,December,3146
