Country,State,City,Year,Month,Loss
India,Maharashtra,Maharashtra,2023,January,635
India,Maharashtra,Maharashtra,2023,February,1317
India,Maharashtra,Maharashtra,2023,March,1927
India,Maharashtra,Maharashtra,2023,April,2275
India,Maharashtra,Maharashtra,2023,May,4843
India,Maharashtra,Maharashtra,2023,June,780
India,Maharashtra,Maharashtra,2023,July,4343
India,Maharashtra,Maharashtra,2023,August,1083
India,Maharashtra,Maharashtra,2023,September,2670
India,Maharashtra,Maharashtra,2023,October,1095
India,Maharashtra,Maharashtra,2023,November,1717
India,Maharashtra,Maharashtra,2023,December,1683
