Country,State,City,Year,Month,Loss
India,Maharashtra,Maharashtra,2025,January,1018
India,Maharashtra,Maharashtra,2025,February,2227
India,Maharashtra,Maharashtra,2025,March,4792
India,Maharashtra,Maharashtra,2025,April,2656
India,Maharashtra,Maharashtra,2025,May,4479
India,Maharashtra,Maharashtra,2025,June,3427
India,Maharashtra,Maharashtra,2025,July,4763
India,Maharashtra,Maharashtra,2025,August,888
India,Maharashtra,Maharashtra,2025,September,4154
India,Maharashtra,Maharashtra,2025,October,2370
India,Maharashtra,Maharashtra,2025,November,3492
India,Maharashtra,Maharashtra,2025,December,2646
