Country,State,City,Year,Month,Loss
India,Maharashtra,Maharashtra,2020,January,508
India,Maharashtra,Maharashtra,2020,February,2176
India,Maharashtra,Maharashtra,2020,March,1698
India,Maharashtra,Maharashtra,2020,April,1617
India,Maharashtra,Maharashtra,2020,May,3665
India,Maharashtra,Maharashtra,2020,June,4502
India,Maharashtra,Maharashtra,2020,July,4914
India,Maharashtra,Maharashtra,2020,August,2149
India,Maharashtra,Maharashtra,2020,September,4486
India,Maharashtra,Maharashtra,2020,October,3217
India,Maharashtra,Maharashtra,2020,November,2153
India,Maharashtra,Maharashtra,2020,December,3537
