Country,State,City,Year,Month,Loss
India,Maharashtra,Maharashtra,2022,January,1044
India,Maharashtra,Maharashtra,2022,February,1919
India,Maharashtra,Maharashtra,2022,March,4264
India,Maharashtra,Maharashtra,2022,April,3854
India,Maharashtra,Maharashtra,2022,May,3684
India,Maharashtra,Maharashtra,2022,June,4715
India,Maharashtra,Maharashtra,2022,July,2239
India,Maharashtra,Maharashtra,2022,August,4805
India,Maharashtra,Maharashtra,2022,September,1688
India,Maharashtra,Maharashtra,2022,October,3709
India,Maharashtra,Maharashtra,2022,November,2497
India,Maharashtra,Maharashtra,2022,December,2912
