Country,State,City,Year,Month,Loss
India,Maharashtra,Maharashtra,2024,January,3021
India,Maharashtra,Maharashtra,2024,February,1712
India,Maharashtra,Maharashtra,2024,March,3446
India,Maharashtra,Maharashtra,2024,April,1575
India,Maharashtra,Maharashtra,2024,May,3527
India,Maharashtra,Maharashtra,2024,June,2059
India,Maharashtra,Maharashtra,2024,July,2295
India,Maharashtra,Maharashtra,2024,August,4897
India,Maharashtra,Maharashtra,2024,September,2180
India,Maharashtra,Maharashtra,2024,October,3701
India,Maharashtra,Maharashtra,2024,November,4188
India,Maharashtra,Maharashtra,2024,December,3427
